"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G001000.Wm82.a4.v1",353.696781191905,1.11328496112853,0.138545729178132,8.0355054445392,9.31939218076551e-16,3.34621289241354e-15
"Glyma.01G001200.Wm82.a4.v1",21.993331277205,1.28302475023062,0.48074668856087,2.66881661540175,0.0076118998010567,0.012349680358467
"Glyma.01G002100.Wm82.a4.v1",573.570894185174,0.404748362329245,0.100849150746174,4.01340377518845,5.98494066915573e-05,0.000120670270971042
"Glyma.01G003700.Wm82.a4.v1",314.455395338642,2.00343236108426,0.142111138950057,14.0976448143755,3.92656733999027e-45,3.16809222231013e-44
"Glyma.01G004100.Wm82.a4.v1",460.932235741424,1.76886083212033,0.127662607956677,13.8557472734742,1.17428400048886e-43,9.20109974409019e-43
"Glyma.01G004200.Wm82.a4.v1",671.632093321712,1.95709976801367,0.417514513138179,4.68750116805151,2.76561123310409e-06,6.17558941195431e-06
"Glyma.01G004500.Wm82.a4.v1",1300.61419924794,1.18986763892043,0.0811642419513994,14.6599981754639,1.16276084868987e-48,1.01601241054487e-47
"Glyma.01G004800.Wm82.a4.v1",18.6917190009068,2.56217894092033,0.62075039502062,4.12755104382208,3.66647062334843e-05,7.51402104887441e-05
"Glyma.01G005000.Wm82.a4.v1",564.290372131574,2.11752374693464,0.148184326973595,14.2897956226637,2.53351868663942e-46,2.09710464458111e-45
"Glyma.01G005300.Wm82.a4.v1",370.942149689908,0.977591986834837,0.124684889286236,7.84050090136103,4.48752711721244e-15,1.5707791299866e-14
"Glyma.01G006000.Wm82.a4.v1",771.438161566617,7.32402930506102,0.278873175192045,26.2629394168778,5.08627623136678e-152,1.89910962234038e-150
"Glyma.01G006200.Wm82.a4.v1",591.834835486749,6.672849451121,0.26375949323034,25.2989925382274,3.27682220252549e-141,1.08118065901036e-139
"Glyma.01G006600.Wm82.a4.v1",619.557601250833,1.80774558865031,0.112063499103288,16.1314397918641,1.53402100625444e-58,1.62327779642905e-57
"Glyma.01G006700.Wm82.a4.v1",1369.61874911639,0.336494202506499,0.0967342709267925,3.47854177513938,0.000504149850423078,0.00093394754920466
"Glyma.01G006900.Wm82.a4.v1",918.201702712836,0.530912360107221,0.0898330728132397,5.90998775262839,3.42133167658774e-09,9.13364356139204e-09
"Glyma.01G007300.Wm82.a4.v1",25.044313882836,1.63878208289625,0.468245950684493,3.49983183090135,0.000465551760991791,0.000865226991751319
"Glyma.01G007500.Wm82.a4.v1",20.6637184084507,2.60462319561604,0.62325834026718,4.17904266551729,2.92738768381371e-05,6.05024228490888e-05
"Glyma.01G008100.Wm82.a4.v1",18.3304617008988,1.19815265643062,0.516532679373906,2.31960668564652,0.0203621638588473,0.0310542811168312
"Glyma.01G008400.Wm82.a4.v1",93.9034093745973,1.48685335978185,0.243163579104922,6.11462195635921,9.67861286738759e-10,2.65735390847589e-09
"Glyma.01G008600.Wm82.a4.v1",1924.69949284148,0.816502129705902,0.0719187859504102,11.3531133613532,7.15681167722445e-30,3.98930065774016e-29
"Glyma.01G008700.Wm82.a4.v1",49.0646385157398,1.7379046489885,0.359911683570002,4.82869750642725,1.3742898459268e-06,3.13245124992069e-06
"Glyma.01G008900.Wm82.a4.v1",312.987807388021,0.620360916521773,0.133385180894344,4.65089834089716,3.30492222052863e-06,7.33933708823867e-06
"Glyma.01G009000.Wm82.a4.v1",59.9173541325194,3.40083877294706,0.373904534784787,9.09547346063755,9.41752438191215e-20,3.89213984730326e-19
"Glyma.01G009400.Wm82.a4.v1",310.50613809248,1.86235403345829,0.147797742439779,12.6006933713289,2.09296459513226e-36,1.38305953165816e-35
"Glyma.01G009900.Wm82.a4.v1",611.194680095565,0.780665899982758,0.100035501541828,7.80388849908788,6.00282335689115e-15,2.09020992850341e-14
"Glyma.01G010500.Wm82.a4.v1",304.401597923601,0.620547371770656,0.134585321954936,4.61081017422121,4.01102678768216e-06,8.85309379245102e-06
"Glyma.01G010700.Wm82.a4.v1",17.6464981888959,4.39255985821933,0.784257767326971,5.60091342568494,2.13225216261181e-08,5.43902454203576e-08
