"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G007400.Wm82.a4.v1",78.6978843928011,-0.854134700068978,0.254883246829453,-3.35108215504055,0.000804964174320415,0.0014624868919229
"Glyma.01G007700.Wm82.a4.v1",373.350616064451,-0.699894379438041,0.131334947234713,-5.32907953423269,9.87117650773031e-08,2.42316855501698e-07
"Glyma.01G008000.Wm82.a4.v1",65.6450641073495,-2.02765712770234,0.301223448441029,-6.73140533446652,1.68032142652748e-11,5.04056644481963e-11
"Glyma.01G008500.Wm82.a4.v1",3077.30220923796,-0.975164039574981,0.0750249775908574,-12.9978584584584,1.25817384851493e-38,8.73642454915101e-38
"Glyma.01G009200.Wm82.a4.v1",508.860160532298,-2.66996452284952,0.128770276377459,-20.7343231525198,1.698271640613e-95,3.1971919296533e-94
"Glyma.01G009300.Wm82.a4.v1",1485.03566969126,-0.279562121716877,0.0862412433067174,-3.24162907441644,0.00118848600538064,0.00212155887214194
"Glyma.01G009500.Wm82.a4.v1",9.71347428777569,-1.52931541351359,0.704227319107888,-2.17162182156029,0.0298841996888692,0.0444491657277996
"Glyma.01G009700.Wm82.a4.v1",91.2799775490702,-1.60775711798723,0.242205243710228,-6.63799467492428,3.17979349267548e-11,9.40063394700123e-11
"Glyma.01G010000.Wm82.a4.v1",193.577866569079,-2.86454683971125,0.195634723440716,-14.6423231486271,1.50825338276902e-48,1.31397458352167e-47
"Glyma.01G010100.Wm82.a4.v1",324.493911883077,-2.34149521193136,0.141757498640998,-16.5176109509467,2.74040067580029e-61,3.03504165755155e-60
"Glyma.01G010200.Wm82.a4.v1",57767.4358040388,-1.28355195501008,0.0580076934263192,-22.1272710427701,1.7271866443964e-108,3.9194247375228e-107
"Glyma.01G010400.Wm82.a4.v1",597.447367814255,-0.43074923716641,0.109883440660853,-3.92005596635698,8.85284074411834e-05,0.000175688652787521
"Glyma.01G010600.Wm82.a4.v1",1949.16929517775,-0.832985799634832,0.078229528821971,-10.6479715802773,1.78205790843604e-26,9.07138356765151e-26
"Glyma.01G011100.Wm82.a4.v1",574.937291278672,-0.715594522646604,0.111400632702747,-6.42361273257792,1.33077506842572e-10,3.81843136943171e-10
"Glyma.01G011300.Wm82.a4.v1",1098.36067361344,-1.00088472062283,0.0883529967819856,-11.3282486964483,9.50869362301849e-30,5.28013797824591e-29
"Glyma.01G011500.Wm82.a4.v1",9.01401017272397,-4.08881207700123,1.05856076376022,-3.86261442609771,0.000112179991444803,0.000220564942831417
"Glyma.01G014100.Wm82.a4.v1",16.5388092022634,-1.66978900908544,0.565733230255767,-2.95154839734362,0.00316184991515725,0.00536933901957409
"Glyma.01G014200.Wm82.a4.v1",224.349684889347,-0.559239176034078,0.152077984834635,-3.67731842739879,0.000235698737909456,0.000450536033590063
"Glyma.01G014400.Wm82.a4.v1",898.422196080901,-0.246845921141639,0.0945038275867966,-2.61202035351346,0.00900088952884501,0.0144581756747411
"Glyma.01G014500.Wm82.a4.v1",85.4719673587509,-1.67624389792106,0.272178256499211,-6.15862530490534,7.33791119524936e-10,2.02831797346686e-09
"Glyma.01G014600.Wm82.a4.v1",40.6079789346121,-3.58229162295773,0.449506297492796,-7.96939140327647,1.59457681297935e-15,5.6803996870989e-15
"Glyma.01G014800.Wm82.a4.v1",103.868875696408,-0.594290421576163,0.215727421883318,-2.75482095130957,0.0058724262111694,0.0096762146820942
"Glyma.01G014900.Wm82.a4.v1",815.978361435551,-0.69500960882691,0.091903897368981,-7.56235185583639,3.95845844409627e-14,1.33163116612178e-13
"Glyma.01G017400.Wm82.a4.v1",430.118383693813,-1.40779674277234,0.127307145592435,-11.0582696377413,1.99917028806846e-28,1.0734349858664e-27
"Glyma.01G018000.Wm82.a4.v1",47.7442282339485,-0.942205063957467,0.341634198763831,-2.75793543903608,0.0058167684851502,0.00958907794251459
"Glyma.01G018800.Wm82.a4.v1",98.9018623614844,-0.770808050966222,0.221852771872414,-3.47441253251282,0.000511973249372898,0.000947978527312152
"Glyma.01G019300.Wm82.a4.v1",122.337502654158,-2.13223429064168,0.232090529317376,-9.18708013167535,4.03649066847423e-20,1.69121484026351e-19
"Glyma.01G019400.Wm82.a4.v1",455.261298200328,-0.788864385467316,0.114442976907386,-6.89307816682984,5.45978533035515e-12,1.67793046900711e-11
"Glyma.01G019500.Wm82.a4.v1",21.3407008639541,-1.46370665269082,0.544409525724554,-2.68861322869539,0.00717494977785693,0.0116867369515162
"Glyma.01G019700.Wm82.a4.v1",178.441952489994,-3.86416650494552,0.235860182989697,-16.3832930847608,2.51736933730031e-60,2.74169651893367e-59
"Glyma.01G020800.Wm82.a4.v1",2.43003313115618,-3.6413345100146,1.70266524722678,-2.13860858201308,0.0324673818828468,0.0480151422211114
"Glyma.01G022700.Wm82.a4.v1",37.8515080482051,-2.4293387344253,0.410767646962671,-5.91414331773328,3.33607317019383e-09,8.91104295144536e-09
"Glyma.01G023700.Wm82.a4.v1",99.4660023204726,-0.515750150808796,0.214922425975504,-2.39970374644654,0.0164083454856291,0.0253744569979118
"Glyma.01G023900.Wm82.a4.v1",419.458152651454,-0.354286923600452,0.115281483054863,-3.07323356893184,0.00211752679361202,0.00366918277831842
"Glyma.01G024000.Wm82.a4.v1",1162.72847446069,-0.982459477564358,0.121379492291004,-8.09411424467767,5.76825336436726e-16,2.08890349065929e-15
"Glyma.01G024700.Wm82.a4.v1",130.505173521905,-0.51847209145844,0.20312547407737,-2.55247203145458,0.0106961496819245,0.0170166017666981
"Glyma.01G024800.Wm82.a4.v1",9.21268013438039,-6.61412503436413,1.34039757811271,-4.93445015297391,8.03768691626009e-07,1.86015879010622e-06
"Glyma.01G025000.Wm82.a4.v1",19.2339986407994,-1.09115136156966,0.507891236212307,-2.14839572682357,0.0316823319688685,0.0469418195266506
"Glyma.01G025100.Wm82.a4.v1",5585.7972175228,-1.13464994762923,0.0689073146794138,-16.4663207804296,6.40492634351326e-61,7.04838593853326e-60
"Glyma.01G025300.Wm82.a4.v1",314.491912647415,-0.8099048189694,0.136546016066055,-5.93136908935961,3.00419037744493e-09,8.04376417629485e-09
"Glyma.01G026000.Wm82.a4.v1",1071.93531765576,-1.50597237945386,0.114731624541429,-13.126044239965,2.33541136586947e-39,1.65552006745055e-38
"Glyma.01G026100.Wm82.a4.v1",1176.20743343922,-1.73835115206893,0.116174520477358,-14.96327374476,1.27591867791316e-50,1.15801501784812e-49
"Glyma.01G026200.Wm82.a4.v1",155.49912095646,-1.93258302216506,0.196758640357484,-9.82209990196017,9.04396682231448e-23,4.12480416266107e-22
"Glyma.01G026800.Wm82.a4.v1",233.804250452054,-1.77193695077931,0.166371056276769,-10.6505121169128,1.73408431839189e-26,8.83072681431881e-26
"Glyma.01G027800.Wm82.a4.v1",22.3324250526405,-3.04927837394441,0.562158253453756,-5.42423482215271,5.82033255567876e-08,1.44850939855529e-07
"Glyma.01G028200.Wm82.a4.v1",405.710836200843,-0.448133357984017,0.122511591070008,-3.65788538104884,0.000254304717470782,0.000484565987119732
"Glyma.01G028600.Wm82.a4.v1",74.2376362372302,-1.65306839235767,0.26017052894686,-6.35378802914033,2.10076271106207e-10,5.9665239966726e-10
"Glyma.01G028700.Wm82.a4.v1",489.313115657004,-0.64252042410392,0.109172263162277,-5.88538155656678,3.97136711716452e-09,1.05664051605364e-08
"Glyma.01G028900.Wm82.a4.v1",1006.49542662631,-0.427973245569487,0.0882487381556371,-4.84962453304097,1.23695391134749e-06,2.82687699436736e-06
"Glyma.01G029200.Wm82.a4.v1",4345.18373982962,-1.24033807187003,0.0696050079746238,-17.8196671182371,4.9731558507996e-71,6.45593080221628e-70
"Glyma.01G029400.Wm82.a4.v1",114.000092642468,-0.541185690472359,0.209316110508648,-2.58549468149992,0.0097239372999415,0.0155492998220773
"Glyma.01G029500.Wm82.a4.v1",134.156307725285,-0.877363322745931,0.198898771859007,-4.4111047772978,1.02844534129855e-05,2.2080437992972e-05
"Glyma.01G030500.Wm82.a4.v1",2048.47191835512,-1.03792958061227,0.0889591319107408,-11.6674877364328,1.86860038874332e-31,1.08684775479929e-30
"Glyma.01G030600.Wm82.a4.v1",669.023899364665,-0.453263327332329,0.0991034868814562,-4.57363652476229,4.79331093635333e-06,1.05253465448175e-05
"Glyma.01G030800.Wm82.a4.v1",481.437656932526,-0.412523713917708,0.115762698740405,-3.56352882583345,0.000365902492882861,0.000686507416677898
"Glyma.01G030900.Wm82.a4.v1",1714.74515503723,-0.699168478102369,0.0965247254342443,-7.2434132804518,4.37531044107649e-13,1.41152223616803e-12
"Glyma.01G031300.Wm82.a4.v1",3.52121247222299,-3.31530658774449,1.43339613938471,-2.31290324890061,0.0207279591651105,0.0315678230573704
"Glyma.01G031700.Wm82.a4.v1",424.285258201237,-0.896818770701881,0.121223244006832,-7.39807598822663,1.38171781858169e-13,4.54868303172442e-13
"Glyma.01G032000.Wm82.a4.v1",156.443822521827,-10.7083261576309,1.18919668957562,-9.00467202061614,2.16311397397493e-19,8.8389552946449e-19
"Glyma.01G032100.Wm82.a4.v1",652.115935855276,-0.271852100560712,0.0970540275634001,-2.80103883770435,0.0050938388197663,0.00844639940406217
"Glyma.01G032200.Wm82.a4.v1",8.70307190127879,-2.22131068707992,0.813088301902358,-2.73194274457373,0.00629620815971823,0.0103350696213029
"Glyma.01G032500.Wm82.a4.v1",1843.85987287575,-0.812933134046126,0.0722612313175532,-11.2499208666079,2.31799935472264e-29,1.27414541537249e-28
"Glyma.01G033700.Wm82.a4.v1",40.2484775050185,-1.95013446893151,0.364319644638552,-5.35281173450384,8.65979358385385e-08,2.13254780772455e-07
"Glyma.01G033800.Wm82.a4.v1",536.298659498527,-1.47467484127725,0.111345021275518,-13.244192011318,4.87500102803493e-40,3.50546328179356e-39
"Glyma.01G034000.Wm82.a4.v1",606.950256586162,-3.41869513086115,0.138306791143708,-24.7182014895346,6.81607533628067e-135,2.12012294216063e-133
"Glyma.01G034100.Wm82.a4.v1",25.3864944665226,-1.33630862356366,0.432958133305944,-3.08646153234261,0.00202554153311538,0.00351797275182616
"Glyma.01G034200.Wm82.a4.v1",222.678911331008,-3.08990722331682,0.184579036756633,-16.7402933594829,6.66588628133935e-63,7.54977167919275e-62
"Glyma.01G034300.Wm82.a4.v1",215.594527101489,-0.741528907114049,0.162494114149405,-4.56342010291063,5.03269675580113e-06,1.10287001261459e-05
"Glyma.01G034402.Wm82.a4.v1",42.3605622266156,-2.96721122964305,0.422472991316746,-7.02343413810898,2.16480219614709e-12,6.76845697750685e-12
"Glyma.01G034700.Wm82.a4.v1",377.771757828354,-1.64301197588479,0.142189902560183,-11.555053813961,6.96038691403002e-31,3.98920848314658e-30
"Glyma.01G034800.Wm82.a4.v1",54.140165205045,-3.54125431573964,0.390249396631458,-9.07433642769706,1.14372269570247e-19,4.71455369956089e-19
"Glyma.01G034900.Wm82.a4.v1",143.218578960763,-5.10063904451868,0.335016663571885,-15.2250308690219,2.41244725865619e-52,2.25910619121759e-51
"Glyma.01G035100.Wm82.a4.v1",611.269294976606,-2.8550589649896,0.116897999352248,-24.4235057983027,9.62542183133374e-132,2.9198905331923e-130
"Glyma.01G035600.Wm82.a4.v1",21.0798021494255,-4.16256071617611,0.708027868177145,-5.87909163362854,4.12523972095436e-09,1.09658271063344e-08
"Glyma.01G035700.Wm82.a4.v1",378.324026378982,-1.56635314980684,0.137503109280327,-11.3914016781506,4.61505288310651e-30,2.58728849685662e-29
"Glyma.01G036200.Wm82.a4.v1",634.842294440834,-0.879048451837433,0.107784751141106,-8.15559197874498,3.47473666588484e-16,1.26982733074015e-15
"Glyma.01G036300.Wm82.a4.v1",32.3542563215337,-1.04818286901704,0.386809943838018,-2.70981365839959,0.00673210182910817,0.011006847493307
"Glyma.01G037500.Wm82.a4.v1",31.1091429735408,-4.62815032018466,0.648008783143717,-7.14211047839797,9.19086783805104e-13,2.92461185872181e-12
"Glyma.01G037800.Wm82.a4.v1",33.8115202412501,-0.904369741378501,0.379723370450474,-2.38165415077199,0.0172350756004725,0.0265676544559153
"Glyma.01G038600.Wm82.a4.v1",1108.28786404311,-2.826449750307,0.123968275534028,-22.799782751928,4.60794517776133e-115,1.13880361642853e-113
"Glyma.01G039600.Wm82.a4.v1",4.38648325465799,-2.63924333409875,1.1631676517676,-2.26901369728435,0.0232674929259531,0.0351718992290903
"Glyma.01G039800.Wm82.a4.v1",99.6382892179018,-1.405063926474,0.249635438414075,-5.62846339205813,1.81822079940918e-08,4.65861628483605e-08
"Glyma.01G039900.Wm82.a4.v1",23.603126499966,-1.85154491245575,0.470373949863881,-3.93632537046654,8.27387773307024e-05,0.000164645878558191
"Glyma.01G040200.Wm82.a4.v1",5567.04813713137,-3.35690425603576,0.0769251865495177,-43.6385585347249,0,0
"Glyma.01G040500.Wm82.a4.v1",122.572482132086,-2.05767714475217,0.217168705299101,-9.47501686266528,2.66717624763519e-21,1.15928380986408e-20
"Glyma.01G040700.Wm82.a4.v1",184.452141400209,-1.83953776925651,0.172602303839261,-10.6576663714154,1.60576017933649e-26,8.18821363248995e-26
"Glyma.01G041500.Wm82.a4.v1",147.91225068705,-1.52779705130657,0.188321716911086,-8.11269712471824,4.95083645065592e-16,1.79733804669944e-15
"Glyma.01G043000.Wm82.a4.v1",149.538013646573,-1.59305547219939,0.191111399151228,-8.33574281426716,7.70131562971163e-17,2.88600026703479e-16
"Glyma.01G044000.Wm82.a4.v1",2907.94129673243,-1.49876642599138,0.0842871670367478,-17.7816680603104,9.80198239692965e-71,1.2663948025401e-69
"Glyma.01G044600.Wm82.a4.v1",110.994941357134,-3.00157344694254,0.270258492625859,-11.1063057363302,1.16896149925708e-28,6.31049944422121e-28
"Glyma.01G045400.Wm82.a4.v1",12.5375387649988,-2.91481402950072,0.794008682013079,-3.67101027423364,0.00024159362725118,0.000461293704315936
"Glyma.01G045500.Wm82.a4.v1",442.654243506565,-2.17462354203001,0.14610533062942,-14.8839438825521,4.19051368521644e-50,3.76551832565193e-49
"Glyma.01G045700.Wm82.a4.v1",186.106370709144,-0.684331411802778,0.182306079553657,-3.75374981173551,0.000174208746884049,0.000336672486732902
"Glyma.01G046000.Wm82.a4.v1",181.501349147338,-3.79328617014812,0.239114788697465,-15.8638710337046,1.12726308913272e-56,1.14779721451741e-55
"Glyma.01G046200.Wm82.a4.v1",272.770408789854,-0.744209845531755,0.136620422200129,-5.44728111322621,5.11455961604241e-08,1.27746360235098e-07
"Glyma.01G046600.Wm82.a4.v1",15.0010119057256,-2.70748849902122,0.703293095095857,-3.84972996024112,0.000118248120082622,0.000232039806109471
"Glyma.01G046700.Wm82.a4.v1",280.065282779045,-0.313057682042876,0.139037049626907,-2.25161338566186,0.0243467144234547,0.0367215037195156
"Glyma.01G047000.Wm82.a4.v1",1741.43824873075,-1.49857063151146,0.0897757644270359,-16.6923739505377,1.48929241820737e-62,1.67479304189533e-61
"Glyma.01G047600.Wm82.a4.v1",18.3283239314873,-2.48764790523758,0.640061253286301,-3.88657787432862,0.00010166732155814,0.000200746747658437
"Glyma.01G048100.Wm82.a4.v1",36.8306930073483,-2.43207947931539,0.424067597891459,-5.73512216308941,9.74420864082151e-09,2.53648384082746e-08
"Glyma.01G048700.Wm82.a4.v1",83.4667255172576,-1.78448246158175,0.258314698368392,-6.90817236825153,4.90937261295904e-12,1.51183061669427e-11
"Glyma.01G048800.Wm82.a4.v1",25.0176918367241,-2.47795613674308,0.551903835953905,-4.48983314721885,7.12789854019758e-06,1.54517750378071e-05
"Glyma.01G049100.Wm82.a4.v1",101.079431777016,-2.13630186172224,0.242108473257507,-8.82373852091523,1.1070053919523e-18,4.42452943723524e-18
"Glyma.01G049400.Wm82.a4.v1",12.130890713926,-1.4373838275569,0.651386832351878,-2.20665164870945,0.0273384056445976,0.0409010784283695
"Glyma.01G049900.Wm82.a4.v1",89.5763088561068,-1.33617724616676,0.265933106148259,-5.02448629100671,5.0478185440451e-07,1.1847334539003e-06
"Glyma.01G050100.Wm82.a4.v1",1756.73100826944,-9.59126590170018,0.394842098680204,-24.2913963170591,2.41691855854972e-130,7.18272669354768e-129
"Glyma.01G050900.Wm82.a4.v1",4894.55455164147,-0.530738914481229,0.0646261131379888,-8.21245296538262,2.167149600011e-16,7.98810670058359e-16
"Glyma.01G052200.Wm82.a4.v1",150.58147725339,-0.626601116505512,0.182393071945817,-3.43544362634374,0.000591584530602047,0.00108907482966938
"Glyma.01G052300.Wm82.a4.v1",15.2283459187521,-2.26984526829268,0.642754197981817,-3.53143592903751,0.000413309977270349,0.000771796228742125
"Glyma.01G052500.Wm82.a4.v1",65.7636950026021,-2.8056456656292,0.313172476030454,-8.95878750646137,3.28268063588917e-19,1.33277815605797e-18
"Glyma.01G053100.Wm82.a4.v1",26.8742304873094,-3.20916222811561,0.524655153795654,-6.11670771724761,9.55283445828983e-10,2.62376788611602e-09
"Glyma.01G053300.Wm82.a4.v1",160.212026499274,-2.32978512646925,0.202417318201172,-11.5098112511984,1.17735801500804e-30,6.70834629747498e-30
"Glyma.01G053700.Wm82.a4.v1",41.8547862556351,-1.71215833397278,0.35061785558257,-4.8832605262728,1.04345856751328e-06,2.39750106698783e-06
"Glyma.01G054300.Wm82.a4.v1",216.014647000943,-0.642461625170696,0.156157975018661,-4.1141774865736,3.8856239216059e-05,7.94515924795525e-05
"Glyma.01G054400.Wm82.a4.v1",46.0571796570288,-3.95931374199934,0.456100920506174,-8.68078437027787,3.93048695696588e-18,1.54161396382492e-17
"Glyma.01G054900.Wm82.a4.v1",22.9022771373794,-2.25349106441781,0.523342080711149,-4.30596190804231,1.66261667503533e-05,3.50835839771793e-05
"Glyma.01G055000.Wm82.a4.v1",15.5449763547427,-1.92160776126013,0.582144884890901,-3.30090980979805,0.000963718565644571,0.00173729868058573
"Glyma.01G055400.Wm82.a4.v1",801.127328510326,-2.19976375726649,0.100570870433706,-21.8727723821037,4.72005599062194e-106,1.0364490364156e-104
"Glyma.01G056202.Wm82.a4.v1",2.71321902885619,-4.873168679684,1.67890045931805,-2.90259535795435,0.00370084471648659,0.00623699156130421
"Glyma.01G056300.Wm82.a4.v1",714.534769925657,-0.405319355568032,0.0984886106717304,-4.11539316885067,3.86519990667709e-05,7.90509811422094e-05
"Glyma.01G057100.Wm82.a4.v1",1013.83241043102,-2.58120054043225,0.0968842651770517,-26.6421026749309,2.20950607591925e-156,8.6225180642393e-155
"Glyma.01G057600.Wm82.a4.v1",30.9535659723067,-1.5621000476056,0.396048460852591,-3.94421441316248,8.00620016120384e-05,0.000159528029003647
"Glyma.01G057700.Wm82.a4.v1",19.9837400102217,-1.29119006013541,0.508659888529924,-2.53841533262446,0.0111355743655416,0.0176654082485073
"Glyma.01G058200.Wm82.a4.v1",224.023631902912,-1.31313574646635,0.158845915434873,-8.26672654988558,1.37687282679398e-16,5.11833116346594e-16
"Glyma.01G058300.Wm82.a4.v1",928.768469718481,-0.416654872526593,0.103577604432243,-4.0226347655989,5.75507046979642e-05,0.000116146452456707
"Glyma.01G058400.Wm82.a4.v1",12.9487174826285,-2.99664123879016,0.723165297567935,-4.14378462139723,3.41620608668887e-05,7.01778054126597e-05
"Glyma.01G058500.Wm82.a4.v1",1766.6045978553,-0.649250703577531,0.081579287794732,-7.95852380093292,1.74103910051111e-15,6.19112135938134e-15
"Glyma.01G058700.Wm82.a4.v1",23.3092965582396,-1.38241406484751,0.468258167186217,-2.95224763116145,0.00315469826550373,0.00535815188667039
"Glyma.01G059000.Wm82.a4.v1",59.3166155622733,-1.37050651574989,0.289506383746854,-4.73394229865505,2.20200350913227e-06,4.95313962493299e-06
"Glyma.01G059100.Wm82.a4.v1",113.484193983863,-1.52914174578377,0.231363967275969,-6.60924760146346,3.86278189512384e-11,1.13746777063571e-10
"Glyma.01G059900.Wm82.a4.v1",42.2679704820043,-0.848487632284562,0.332137465686685,-2.55462788737289,0.0106301371817687,0.0169193716460378
"Glyma.01G060900.Wm82.a4.v1",775.633456367347,-0.30821667811538,0.0934345622592262,-3.2987437481674,0.000971185227872601,0.00175026079898713
"Glyma.01G061100.Wm82.a4.v1",426.915097858718,-2.19704225492957,0.133158301916339,-16.4994763624271,3.700879032938e-61,4.0880677722166e-60
"Glyma.01G062100.Wm82.a4.v1",78.4598327833518,-4.07729412971691,0.358965414529974,-11.3584595191592,6.73212608633853e-30,3.75588011950282e-29
"Glyma.01G062200.Wm82.a4.v1",18.9603565550339,-2.91352747817447,0.602458422814095,-4.83606398025831,1.3243531030691e-06,3.0218910702159e-06
"Glyma.01G063000.Wm82.a4.v1",626.708757440077,-0.582773023897366,0.100229959119485,-5.8143595888594,6.0866449898471e-09,1.60250312436163e-08
"Glyma.01G065400.Wm82.a4.v1",206.655117726235,-2.7866486900364,0.197952816112945,-14.0773379472734,5.23447062815569e-45,4.21708835473077e-44
"Glyma.01G067100.Wm82.a4.v1",154.934463042244,-0.696468496943432,0.182362898698795,-3.81913482354639,0.000133920555630212,0.000261404011683068
"Glyma.01G067300.Wm82.a4.v1",5.9680137003086,-2.6625443286018,1.01565306779564,-2.62150966016432,0.00875412813227337,0.0140862082087762
"Glyma.01G067900.Wm82.a4.v1",194.125958922047,-1.54120014316929,0.171566062270869,-8.98312942996873,2.63172662854934e-19,1.07157931602743e-18
"Glyma.01G068000.Wm82.a4.v1",3247.34799335654,-0.822166497364631,0.0675793290975628,-12.165946426868,4.71943460545376e-34,2.9465458172355e-33
"Glyma.01G068600.Wm82.a4.v1",377.850447869145,-0.551845737113974,0.126366376366165,-4.3670298459372,1.25947522694465e-05,2.68344469597345e-05
"Glyma.01G068800.Wm82.a4.v1",158.534845466748,-0.511370798031646,0.188270951952142,-2.71614283950525,0.00660474155005265,0.010810706498902
"Glyma.01G069500.Wm82.a4.v1",676.724140680036,-1.60593406200366,0.11679001859557,-13.7506105514446,5.05015296774648e-43,3.90631490240219e-42
